Provinsi,Cluster,TBC Case Detection Rate,TBC Success Rate,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,"New Case Detection Rate of Leprosy per 100,000 Population","Annual Parasite Incidence per 1,000 Population","DHF Incidence Rate per 100,000 Population",Kategori_Risiko,Label_Kesehatan,Deskripsi_Label
Sulawesi Selatan,0,65.0,84.0,1954.0,8.27,0.21,45.81,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Sulawesi Tenggara,0,72.0,81.0,600.0,6.69,0.23,41.03,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Gorontalo,0,77.0,88.0,235.0,16.58,1.89,54.5,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Sulawesi Barat,0,80.0,87.0,130.0,13.26,0.07,77.62,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Maluku,0,63.0,85.0,734.0,23.02,1.67,8.07,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Maluku Utara,2,80.0,75.0,675.0,56.48,0.22,22.49,Cluster 2 (Risk Level 2),Beban Penyakit Tinggi,"Cluster dengan beban penyakit infeksi yang tinggi, terutama pada HIV/AIDS dan parasit"
Papua Barat,2,88.0,73.0,1099.0,64.97,18.63,3.4,Cluster 2 (Risk Level 2),Beban Penyakit Tinggi,"Cluster dengan beban penyakit infeksi yang tinggi, terutama pada HIV/AIDS dan parasit"
Papua Barat Daya,2,82.0,67.0,529.0,86.89,11.53,41.49,Cluster 2 (Risk Level 2),Beban Penyakit Tinggi,"Cluster dengan beban penyakit infeksi yang tinggi, terutama pada HIV/AIDS dan parasit"
Papua,1,58.0,75.0,2997.0,5.215,269.44,2.14,Cluster 1 (Risk Level 4),Beban Penyakit Tinggi,"Cluster dengan beban penyakit infeksi yang tinggi, terutama pada HIV/AIDS dan parasit"
Papua Selatan,1,81.0,80.0,295.0,26.54,146.93,25.65,Cluster 1 (Risk Level 4),Beban Penyakit Tinggi,"Cluster dengan beban penyakit infeksi yang tinggi, terutama pada HIV/AIDS dan parasit"
Papua Tengah,1,72.0,77.0,2057.0,9.88,133.67,9.34,Cluster 1 (Risk Level 4),Beban Penyakit Tinggi,"Cluster dengan beban penyakit infeksi yang tinggi, terutama pada HIV/AIDS dan parasit"
Papua Pegunungan,4,41.0,56.0,551.0,5.215,36.42,41.49,Cluster 4 (Risk Level 1),Layanan Kesehatan Lemah,Cluster dengan angka deteksi TBC rendah dan tingkat keberhasilan pengobatan rendah
